TIPO;TEMPO;X;Y;KEYS;URL
move;0;696;5864;;www.globo.com/
move;0;617;5803;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
